Age,Club,Club Logo,Flag,ID,Name,Nationality,Overall,Photo,Potential,Special,EUR_value,EUR_wage
24,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,https://cdn.sofifa.org/flags/44.png,200389,J. Oblak,Slovenia,88,https://cdn.sofifa.org/48/18/players/200389.png,93,1290,57000000.0,82000.0
26,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,https://cdn.sofifa.org/flags/18.png,194765,A. Griezmann,France,88,https://cdn.sofifa.org/48/18/players/194765.png,91,2104,75000000.0,150000.0
26,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/45.png,189509,Thiago,Spain,88,https://cdn.sofifa.org/48/18/players/189509.png,90,2185,70500000.0,225000.0
28,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,https://cdn.sofifa.org/flags/115.png,188567,P. Aubameyang,Gabon,88,https://cdn.sofifa.org/48/18/players/188567.png,88,2078,61000000.0,165000.0
30,Milan,https://cdn.sofifa.org/24/18/teams/47.png,https://cdn.sofifa.org/flags/27.png,184344,L. Bonucci,Italy,88,https://cdn.sofifa.org/48/18/players/184344.png,88,1995,44000000.0,210000.0
28,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/21.png,183907,J. Boateng,Germany,88,https://cdn.sofifa.org/48/18/players/183907.png,88,1989,48000000.0,215000.0
31,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,https://cdn.sofifa.org/flags/60.png,182493,D. Godín,Uruguay,88,https://cdn.sofifa.org/48/18/players/182493.png,88,1930,40000000.0,125000.0
28,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/21.png,178603,M. Hummels,Germany,88,https://cdn.sofifa.org/48/18/players/178603.png,88,2038,48000000.0,215000.0
28,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,https://cdn.sofifa.org/flags/21.png,176635,M. Özil,Germany,88,https://cdn.sofifa.org/48/18/players/176635.png,88,1927,60000000.0,265000.0
30,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,https://cdn.sofifa.org/flags/18.png,167948,H. Lloris,France,88,https://cdn.sofifa.org/48/18/players/167948.png,88,1318,38000000.0,165000.0
32,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,https://cdn.sofifa.org/flags/54.png,164240,Thiago Silva,Brazil,88,https://cdn.sofifa.org/48/18/players/164240.png,88,2124,34000000.0,175000.0
35,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/46.png,41236,Z. Ibrahimovi?,Sweden,88,https://cdn.sofifa.org/48/18/players/41236.png,88,2075,27000000.0,240000.0
33,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/34.png,9014,A. Robben,Netherlands,88,https://cdn.sofifa.org/48/18/players/9014.png,88,2081,36000000.0,225000.0
26,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/18.png,215914,N. Kanté,France,87,https://cdn.sofifa.org/48/18/players/215914.png,90,2154,52500000.0,190000.0
24,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,https://cdn.sofifa.org/flags/27.png,199556,M. Verratti,Italy,87,https://cdn.sofifa.org/48/18/players/199556.png,91,2154,64500000.0,130000.0
24,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/18.png,195864,P. Pogba,France,87,https://cdn.sofifa.org/48/18/players/195864.png,92,2238,66500000.0,195000.0
25,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,https://cdn.sofifa.org/flags/13.png,190460,C. Eriksen,Denmark,87,https://cdn.sofifa.org/48/18/players/190460.png,91,2064,65000000.0,165000.0
30,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/55.png,181872,A. Vidal,Chile,87,https://cdn.sofifa.org/48/18/players/181872.png,87,2278,37500000.0,160000.0
30,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,https://cdn.sofifa.org/flags/60.png,179813,E. Cavani,Uruguay,87,https://cdn.sofifa.org/48/18/players/179813.png,87,2097,48500000.0,160000.0
29,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/54.png,176676,Marcelo,Brazil,87,https://cdn.sofifa.org/48/18/players/176676.png,87,2209,38000000.0,250000.0
29,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,https://cdn.sofifa.org/flags/43.png,171877,M. Hamšík,Slovakia,87,https://cdn.sofifa.org/48/18/players/171877.png,87,2184,48500000.0,130000.0
29,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/10.png,168651,I. Rakiti?,Croatia,87,https://cdn.sofifa.org/48/18/players/168651.png,87,2129,48500000.0,275000.0
31,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,https://cdn.sofifa.org/flags/45.png,168542,David Silva,Spain,87,https://cdn.sofifa.org/48/18/players/168542.png,87,1977,44000000.0,220000.0
32,Inter,https://cdn.sofifa.org/24/18/teams/44.png,https://cdn.sofifa.org/flags/44.png,162835,S. Handanovi?,Slovenia,87,https://cdn.sofifa.org/48/18/players/162835.png,87,1264,29000000.0,91000.0
30,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/45.png,152729,Piqué,Spain,87,https://cdn.sofifa.org/48/18/players/152729.png,87,1974,37500000.0,240000.0
33,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/45.png,41,Iniesta,Spain,87,https://cdn.sofifa.org/48/18/players/41.png,87,2073,29500000.0,260000.0
23,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,https://cdn.sofifa.org/flags/14.png,202126,H. Kane,England,86,https://cdn.sofifa.org/48/18/players/202126.png,90,2057,59000000.0,165000.0
25,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/56.png,198710,J. Rodríguez,Colombia,86,https://cdn.sofifa.org/48/18/players/198710.png,89,2118,56000000.0,250000.0
25,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/45.png,197781,Isco,Spain,86,https://cdn.sofifa.org/48/18/players/197781.png,90,2105,56500000.0,250000.0
25,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/4.png,197445,D. Alaba,Austria,86,https://cdn.sofifa.org/48/18/players/197445.png,88,2278,44500000.0,150000.0
24,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/7.png,192505,R. Lukaku,Belgium,86,https://cdn.sofifa.org/48/18/players/192505.png,90,1997,59000000.0,210000.0
26,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/54.png,191043,Alex Sandro,Brazil,86,https://cdn.sofifa.org/48/18/players/191043.png,88,2207,44000000.0,175000.0
27,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/21.png,189596,T. Müller,Germany,86,https://cdn.sofifa.org/48/18/players/189596.png,86,2078,47500000.0,190000.0
28,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/45.png,189511,Sergio Busquets,Spain,86,https://cdn.sofifa.org/48/18/players/189511.png,86,1998,36000000.0,250000.0
25,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,https://cdn.sofifa.org/flags/54.png,189242,Coutinho,Brazil,86,https://cdn.sofifa.org/48/18/players/189242.png,89,2049,56000000.0,205000.0
28,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,https://cdn.sofifa.org/flags/21.png,188350,M. Reus,Germany,86,https://cdn.sofifa.org/48/18/players/188350.png,86,2157,45000000.0,120000.0
28,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,https://cdn.sofifa.org/flags/7.png,184087,T. Alderweireld,Belgium,86,https://cdn.sofifa.org/48/18/players/184087.png,87,2047,40500000.0,165000.0
30,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/54.png,179944,David Luiz,Brazil,86,https://cdn.sofifa.org/48/18/players/179944.png,86,2123,33000000.0,190000.0
28,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/45.png,179844,Diego Costa,Spain,86,https://cdn.sofifa.org/48/18/players/179844.png,86,1984,46000000.0,235000.0
29,Roma,https://cdn.sofifa.org/24/18/teams/52.png,https://cdn.sofifa.org/flags/7.png,178518,R. Nainggolan,Belgium,86,https://cdn.sofifa.org/48/18/players/178518.png,86,2286,42500000.0,130000.0
28,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/45.png,177610,Javi Martínez,Spain,86,https://cdn.sofifa.org/48/18/players/177610.png,86,1973,36000000.0,165000.0
30,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,https://cdn.sofifa.org/flags/7.png,175943,D. Mertens,Belgium,86,https://cdn.sofifa.org/48/18/players/175943.png,86,2035,43000000.0,135000.0
29,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,https://cdn.sofifa.org/flags/22.png,172879,Sokratis,Greece,86,https://cdn.sofifa.org/48/18/players/172879.png,86,1885,34500000.0,110000.0
32,Inter,https://cdn.sofifa.org/24/18/teams/44.png,https://cdn.sofifa.org/flags/54.png,168609,Miranda,Brazil,86,https://cdn.sofifa.org/48/18/players/168609.png,86,1890,25500000.0,115000.0
29,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/18.png,165153,K. Benzema,France,86,https://cdn.sofifa.org/48/18/players/165153.png,86,1950,44500000.0,295000.0
30,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/45.png,162895,Cesc Fàbregas,Spain,86,https://cdn.sofifa.org/48/18/players/162895.png,86,2118,41000000.0,210000.0
34,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/18.png,156616,F. Ribéry,France,86,https://cdn.sofifa.org/48/18/players/156616.png,86,1965,22500000.0,175000.0
34,Be?ikta? JK,https://cdn.sofifa.org/24/18/teams/327.png,https://cdn.sofifa.org/flags/38.png,120533,Pepe,Portugal,86,https://cdn.sofifa.org/48/18/players/120533.png,86,1839,13500000.0,94000.0
35,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,https://cdn.sofifa.org/flags/12.png,48940,P. ?ech,Czech Republic,86,https://cdn.sofifa.org/48/18/players/48940.png,86,1206,10500000.0,92000.0
23,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,https://cdn.sofifa.org/flags/7.png,208418,Y. Carrasco,Belgium,85,https://cdn.sofifa.org/48/18/players/208418.png,90,1991,51500000.0,77000.0
24,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/18.png,201535,R. Varane,France,85,https://cdn.sofifa.org/48/18/players/201535.png,92,1875,46500000.0,175000.0
25,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/54.png,200145,Casemiro,Brazil,85,https://cdn.sofifa.org/48/18/players/200145.png,89,2138,42000000.0,195000.0
26,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,https://cdn.sofifa.org/flags/27.png,198219,L. Insigne,Italy,85,https://cdn.sofifa.org/48/18/players/198219.png,86,1949,45000000.0,115000.0
26,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,https://cdn.sofifa.org/flags/18.png,193301,A. Lacazette,France,85,https://cdn.sofifa.org/48/18/players/193301.png,88,2063,48500000.0,180000.0
30,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/72.png,193041,K. Navas,Costa Rica,85,https://cdn.sofifa.org/48/18/players/193041.png,85,1301,24500000.0,165000.0
28,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/3.png,192883,H. Mkhitaryan,Armenia,85,https://cdn.sofifa.org/48/18/players/192883.png,85,2148,39000000.0,195000.0
32,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,https://cdn.sofifa.org/flags/10.png,192593,D. Subaši?,Croatia,85,https://cdn.sofifa.org/48/18/players/192593.png,85,1305,22000000.0,46000.0
25,Bayer 04 Leverkusen,https://cdn.sofifa.org/24/18/teams/32.png,https://cdn.sofifa.org/flags/21.png,192563,B. Leno,Germany,85,https://cdn.sofifa.org/48/18/players/192563.png,88,1247,34000000.0,61000.0
25,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/21.png,192448,M. ter Stegen,Germany,85,https://cdn.sofifa.org/48/18/players/192448.png,89,1274,35500000.0,155000.0
29,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,https://cdn.sofifa.org/flags/37.png,190547,K. Glik,Poland,85,https://cdn.sofifa.org/48/18/players/190547.png,85,1612,30000000.0,60000.0
28,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/45.png,189332,Jordi Alba,Spain,85,https://cdn.sofifa.org/48/18/players/189332.png,85,2206,30500000.0,215000.0
26,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,https://cdn.sofifa.org/flags/21.png,186942,I. Gündo?an,Germany,85,https://cdn.sofifa.org/48/18/players/186942.png,87,2148,46000000.0,190000.0
27,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/45.png,184432,Azpilicueta,Spain,85,https://cdn.sofifa.org/48/18/players/184432.png,87,2099,37500000.0,160000.0
29,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,https://cdn.sofifa.org/flags/52.png,183898,A. Di María,Argentina,85,https://cdn.sofifa.org/48/18/players/183898.png,85,2115,37500000.0,145000.0
27,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/8.png,180206,M. Pjani?,Bosnia Herzegovina,85,https://cdn.sofifa.org/48/18/players/180206.png,86,2172,43500000.0,160000.0
31,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/27.png,173210,C. Marchisio,Italy,85,https://cdn.sofifa.org/48/18/players/173210.png,85,2210,33000000.0,160000.0
30,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,https://cdn.sofifa.org/flags/7.png,172871,J. Vertonghen,Belgium,85,https://cdn.sofifa.org/48/18/players/172871.png,85,2079,28500000.0,130000.0
30,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/18.png,170890,B. Matuidi,France,85,https://cdn.sofifa.org/48/18/players/170890.png,85,2172,28500000.0,145000.0
30,AS Saint-Étienne,https://cdn.sofifa.org/24/18/teams/1819.png,https://cdn.sofifa.org/flags/18.png,167628,S. Ruffier,France,85,https://cdn.sofifa.org/48/18/players/167628.png,85,1257,24500000.0,49000.0
31,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,https://cdn.sofifa.org/flags/54.png,164169,Filipe Luís,Brazil,85,https://cdn.sofifa.org/48/18/players/164169.png,85,2134,25000000.0,81000.0
31,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,https://cdn.sofifa.org/flags/7.png,139720,V. Kompany,Belgium,85,https://cdn.sofifa.org/48/18/players/139720.png,85,1913,26000000.0,170000.0
36,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/27.png,137186,A. Barzagli,Italy,85,https://cdn.sofifa.org/48/18/players/137186.png,85,1750,5000000.0,105000.0
23,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/108.png,225508,E. Bailly,Ivory Coast,84,https://cdn.sofifa.org/48/18/players/225508.png,89,1890,35500000.0,150000.0
21,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/45.png,220834,Marco Asensio,Spain,84,https://cdn.sofifa.org/48/18/players/220834.png,92,1998,46000000.0,175000.0
22,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,https://cdn.sofifa.org/flags/38.png,218667,Bernardo Silva,Portugal,84,https://cdn.sofifa.org/48/18/players/218667.png,91,2012,43500000.0,165000.0
23,Athletic Club de Bilbao,https://cdn.sofifa.org/24/18/teams/448.png,https://cdn.sofifa.org/flags/18.png,212218,A. Laporte,France,84,https://cdn.sofifa.org/48/18/players/212218.png,89,1919,35500000.0,36000.0
21,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,https://cdn.sofifa.org/flags/14.png,211117,D. Alli,England,84,https://cdn.sofifa.org/48/18/players/211117.png,90,2122,43000000.0,115000.0
25,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,https://cdn.sofifa.org/flags/136.png,208722,S. Mané,Senegal,84,https://cdn.sofifa.org/48/18/players/208722.png,87,2046,39000000.0,175000.0
25,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/45.png,204963,Carvajal,Spain,84,https://cdn.sofifa.org/48/18/players/204963.png,87,2039,32000000.0,195000.0
23,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,https://cdn.sofifa.org/flags/21.png,202166,J. Draxler,Germany,84,https://cdn.sofifa.org/48/18/players/202166.png,87,2017,39500000.0,120000.0
24,Inter,https://cdn.sofifa.org/24/18/teams/44.png,https://cdn.sofifa.org/flags/52.png,201399,M. Icardi,Argentina,84,https://cdn.sofifa.org/48/18/players/201399.png,89,1866,42000000.0,105000.0
24,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/45.png,201153,Morata,Spain,84,https://cdn.sofifa.org/48/18/players/201153.png,88,1862,41000000.0,170000.0
26,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,https://cdn.sofifa.org/flags/136.png,201024,K. Koulibaly,Senegal,84,https://cdn.sofifa.org/48/18/players/201024.png,87,1610,32500000.0,96000.0
24,1. FC Köln,https://cdn.sofifa.org/24/18/teams/31.png,https://cdn.sofifa.org/flags/21.png,200316,T. Horn,Germany,84,https://cdn.sofifa.org/48/18/players/200316.png,90,1260,31000000.0,39000.0
25,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,https://cdn.sofifa.org/flags/45.png,193747,Koke,Spain,84,https://cdn.sofifa.org/48/18/players/193747.png,88,2129,39500000.0,84000.0
26,Roma,https://cdn.sofifa.org/24/18/teams/52.png,https://cdn.sofifa.org/flags/22.png,192774,K. Manolas,Greece,84,https://cdn.sofifa.org/48/18/players/192774.png,86,1638,31500000.0,96000.0
25,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,https://cdn.sofifa.org/flags/21.png,192227,S. Mustafi,Germany,84,https://cdn.sofifa.org/48/18/players/192227.png,86,1942,31500000.0,145000.0
27,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/45.png,191740,Ander Herrera,Spain,84,https://cdn.sofifa.org/48/18/players/191740.png,84,2213,32000000.0,190000.0
27,Roma,https://cdn.sofifa.org/24/18/teams/52.png,https://cdn.sofifa.org/flags/34.png,189712,K. Strootman,Netherlands,84,https://cdn.sofifa.org/48/18/players/189712.png,85,2165,35000000.0,105000.0
29,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/45.png,189505,Pedro,Spain,84,https://cdn.sofifa.org/48/18/players/189505.png,84,1987,30500000.0,200000.0
26,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,https://cdn.sofifa.org/flags/47.png,189117,R. Bürki,Switzerland,84,https://cdn.sofifa.org/48/18/players/189117.png,86,1257,26000000.0,69000.0
33,Villarreal CF,https://cdn.sofifa.org/24/18/teams/483.png,https://cdn.sofifa.org/flags/45.png,184120,Bruno,Spain,84,https://cdn.sofifa.org/48/18/players/184120.png,84,2059,18500000.0,59000.0
28,Inter,https://cdn.sofifa.org/24/18/teams/44.png,https://cdn.sofifa.org/flags/10.png,181458,I. Periši?,Croatia,84,https://cdn.sofifa.org/48/18/players/181458.png,84,2078,31500000.0,110000.0
31,Roma,https://cdn.sofifa.org/24/18/teams/52.png,https://cdn.sofifa.org/flags/8.png,180930,E. Džeko,Bosnia Herzegovina,84,https://cdn.sofifa.org/48/18/players/180930.png,84,1861,28000000.0,115000.0
28,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/54.png,180403,Willian,Brazil,84,https://cdn.sofifa.org/48/18/players/180403.png,84,2061,31500000.0,200000.0
30,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/21.png,179846,S. Khedira,Germany,84,https://cdn.sofifa.org/48/18/players/179846.png,84,2157,29000000.0,160000.0
28,FC Schalke 04,https://cdn.sofifa.org/24/18/teams/34.png,https://cdn.sofifa.org/flags/21.png,179783,R. Fährmann,Germany,84,https://cdn.sofifa.org/48/18/players/179783.png,85,1190,25000000.0,54000.0
28,Villarreal CF,https://cdn.sofifa.org/24/18/teams/483.png,https://cdn.sofifa.org/flags/45.png,178750,Sergio Asenjo,Spain,84,https://cdn.sofifa.org/48/18/players/178750.png,85,1341,25000000.0,46000.0
29,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/45.png,178088,Juan Mata,Spain,84,https://cdn.sofifa.org/48/18/players/178088.png,84,1982,30500000.0,195000.0
30,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/129.png,177509,M. Benatia,Morocco,84,https://cdn.sofifa.org/48/18/players/177509.png,84,1764,23000000.0,145000.0
30,Olympique de Marseille,https://cdn.sofifa.org/24/18/teams/219.png,https://cdn.sofifa.org/flags/18.png,177388,D. Payet,France,84,https://cdn.sofifa.org/48/18/players/177388.png,84,2076,29500000.0,60000.0
31,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,https://cdn.sofifa.org/flags/56.png,167397,Falcao,Colombia,84,https://cdn.sofifa.org/48/18/players/167397.png,84,2010,28000000.0,68000.0
31,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,https://cdn.sofifa.org/flags/18.png,165229,L. Koscielny,France,84,https://cdn.sofifa.org/48/18/players/165229.png,84,1866,21000000.0,150000.0
31,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/14.png,164468,G. Cahill,England,84,https://cdn.sofifa.org/48/18/players/164468.png,84,1839,21000000.0,160000.0
34,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,https://cdn.sofifa.org/flags/54.png,146530,Dani Alves,Brazil,84,https://cdn.sofifa.org/48/18/players/146530.png,84,2208,9000000.0,115000.0
